key_code,name,iata_code,icao_code,anac_code,country
AER,BUENOS AIRES/AEROPARQUE J. NEWBERY,AEP,SABE,AER,Argentina
EZE,EZEIZA/MINISTRO PISTARINI,EZE,SAEZ,EZE,Argentina
FDO,SAN FERNANDO,FDO,SADF,FDO,Argentina
PAL,EL PALOMAR,EPA,SADP,PAL,Argentina
MOR,MORON,,SADM,MOR,Argentina
PTA,LA PLATA,LPG,SADL,PTA,Argentina
MDP,MAR DEL PLATA/ASTOR PIAZZOLLA,MDQ,SAZM,MDP,Argentina
BCA,BAHIA BLANCA/COMANDANTE ESPORA,BHI,SAZB,BCA,Argentina
CBA,CORDOBA/ING. AERONAUTICO AMBROSIO L.V. TARAVELLA,COR,SACO,CBA,Argentina
ROS,ROSARIO/ISLAS MALVINAS,ROS,SAAR,ROS,Argentina
SVO,SANTA FE/SAUCE VIEJO,SFN,SAAV,SVO,Argentina
MBI,VICECOMODORO MARAMBIO,,SAWB,MBI,Argentina
SAL,SALTA,SLA,SASA,SAL,Argentina
TUC,TUCUMAN/TEN. BENJAMIN MATIENZO,TUC,SANT,TUC,Argentina
JUJ,JUJUY/GOBERNADOR GUZMAN,JUJ,SASJ,JUJ,Argentina
IGU,CATARATAS DEL IGUAZU,IGR,SARI,IGU,Argentina
POS,POSADAS/LIBERTADOR GENERAL SAN MARTIN,PSS,SARP,POS,Argentina
RES,RESISTENCIA,RES,SARE,SIS,Argentina
SDE,SANTIAGO DEL ESTERO,SDE,SANE,SDE,Argentina
TRH,TERMAS DE RIO HONDO,RHD,SANR,TRH,Argentina
JUA,SAN JUAN/DOMINGO FAUSTINO SARMIENTO,UAQ,SANU,JUA,Argentina
DOZ,MENDOZA/EL PLUMERILLO,MDZ,SAME,DOZ,Argentina
NEU,NEUQUEN/PRESIDENTE PERON,NQN,SAZN,NEU,Argentina
BAR,SAN CARLOS DE BARILOCHE,BRC,SAZS,BAR,Argentina
ECA,EL CALAFATE,FTE,SAWC,ECA,Argentina
CRV,COMODORO RIVADAVIA/GRAL. ENRIQUE MOSCONI,CRD,SAVC,CRV,Argentina
GAL,RIO GALLEGOS/PILOTO CIVIL N. FERNANDEZ,RGL,SAWG,GAL,Argentina
USU,USHUAIA/MALVINAS ARGENTINAS,USH,SAWH,USU,Argentina
GRA,RIO GRANDE,RGA,SAWE,GRA,Argentina
KJFK,NEW YORK/JOHN F. KENNEDY INTL,JFK,KJFK,,United States
KEWR,NEWARK INTL,EWR,KEWR,,United States
KMIA,MIAMI/INTL,MIA,KMIA,,United States
KMCO,ORLANDO/INTL,MCO,KMCO,,United States
KLAX,LOS ANGELES/INTL,LAX,KLAX,,United States
KORD,CHICAGO/O'HARE,ORD,KORD,,United States
KATL,ATLANTA/HARTSFIELD,ATL,KATL,,United States
KDFW,DALLAS-FORT WORTH/INTL,DFW,KDFW,,United States
CYYZ,TORONTO/LESTER B. PEARSON INTL,YYZ,CYYZ,,Canada
MMMX,MEXICO/LIC. BENITO JUAREZ INTL,MEX,MMMX,,Mexico
MMUN,CANCUN INTL,CUN,MMUN,,Mexico
MPTO,PANAMA/TOCUMEN,PTY,MPTO,,Panama
SKBO,BOGOTA/EL DORADO,BOG,SKBO,,Colombia
SPJC,LIMA-CALLAO/INTL JORGE CHAVEZ,LIM,SPJC,,Peru
SCEL,SANTIAGO/INTL,SCL,SCEL,,Chile
SUMU,MONTEVIDEO/CARRASCO INTL,MVD,SUMU,,Uruguay
SGAS,ASUNCION/SILVIO PETTIROSSI,ASU,SGAS,,Paraguay
SBGR,SAO PAULO/INTL GUARULHOS,GRU,SBGR,,Brazil
SBGL,RIO DE JANEIRO/INTL GALEAO,GIG,SBGL,,Brazil
