key_code,name,iata_code,icao_code,country
AEP,BUENOS AIRES/AEROPARQUE J. NEWBERY,AEP,SABE,Argentina
EZE,EZEIZA/MINISTRO PISTARINI,EZE,SAEZ,Argentina
COR,CORDOBA/ING. AERONAUTICO AMBROSIO L.V. TARAVELLA,COR,SACO,Argentina
MDZ,MENDOZA/EL PLUMERILLO,MDZ,SAME,Argentina
SLA,SALTA/GUEMES,SLA,SASA,Argentina
BRC,SAN CARLOS DE BARILOCHE/TENIENTE CANDELARIA,BRC,SAZS,Argentina
IGR,CATARATAS DEL IGUAZU/MAYOR KRAUSE,IGR,SARI,Argentina
NQN,NEUQUEN/PRESIDENTE PERON,NQN,SAZN,Argentina
FTE,EL CALAFATE/COMANDANTE TOLA,FTE,SAWC,Argentina
USH,USHUAIA/MALVINAS ARGENTINAS,USH,SAWH,Argentina
FDO,SAN FERNANDO,FDO,SADF,Argentina
EPA,EL PALOMAR,EPA,SADP,Argentina
MOR,MORON,,SADM,Argentina
PTA,LA PLATA,LPG,SADL,Argentina
MDP,MAR DEL PLATA/ASTOR PIAZZOLLA,MDQ,SAZM,Argentina
BHI,BAHIA BLANCA/COMANDANTE ESPORA,BHI,SAZB,Argentina
ROS,ROSARIO/ISLAS MALVINAS,ROS,SAAR,Argentina
SFN,SANTA FE/SAUCE VIEJO,SFN,SAAV,Argentina
TUC,SAN MIGUEL DE TUCUMAN/TEN. BENJAMIN MATIENZO,TUC,SANT,Argentina
PSS,POSADAS/LIBERTADOR GENERAL SAN MARTIN,PSS,SARP,Argentina
RES,RESISTENCIA,RES,SARE,Argentina
SDE,SANTIAGO DEL ESTERO/VCOM. ANGEL ARAGONES,SDE,SANE,Argentina
UAQ,SAN JUAN/DOMINGO FAUSTINO SARMIENTO,UAQ,SANU,Argentina
KJFK,NEW YORK/JOHN F. KENNEDY INTL,JFK,KJFK,United States
KMIA,MIAMI/INTL,MIA,KMIA,United States
KLAX,LOS ANGELES/INTL,LAX,KLAX,United States
KMCO,ORLANDO/INTL,MCO,KMCO,United States
KORD,CHICAGO/O'HARE,ORD,KORD,United States
KATL,ATLANTA/HARTSFIELD,ATL,KATL,United States
KDFW,DALLAS-FORT WORTH/INTL,DFW,KDFW,United States
CYYZ,TORONTO/LESTER B. PEARSON INTL,YYZ,CYYZ,Canada
MMMX,MEXICO CITY/LIC. BENITO JUAREZ INTL,MEX,MMMX,Mexico
MMUN,CANCUN INTL,CUN,MMUN,Mexico
MPTO,PANAMA/TOCUMEN,PTY,MPTO,Panama
SKBO,BOGOTA/EL DORADO,BOG,SKBO,Colombia
SPJC,LIMA/JORGE CHAVEZ,LIM,SPJC,Peru
SCEL,SANTIAGO/ARTURO MERINO BENITEZ,SCL,SCEL,Chile
SUMU,MONTEVIDEO/CARRASCO INTL,MVD,SUMU,Uruguay
SGAS,ASUNCION/SILVIO PETTIROSSI,ASU,SGAS,Paraguay
SBGR,SAO PAULO/GUARULHOS,GRU,SBGR,Brazil
SBGL,RIO DE JANEIRO/GALEAO,GIG,SBGL,Brazil
