anac_code,name,search
FMNF,BEFANDRIANA NORD,FMNF BEFANDRIANA NORD
FMNG,PORT BERGE,FMNG PORT BERGE
FMNH,ANTALAHA,FMNH ANTALAHA
FMNJ,AMBANJA,FMNJ AMBANJA
FMNL,ANALALAVA,FMNL ANALALAVA
FMNM,MAHAJANGA/AMBOROVY,FMNM MAHAJANGA/AMBOROVY
FMNN,NOSY-BE/FASCENE,FMNN NOSY-BE/FASCENE
FMNO,SOALALA,FMNO SOALALA
FMNP,MAMPIKONY,FMNP MAMPIKONY
FMNQ,BESALAMPY,FMNQ BESALAMPY
FMNR,MAROANTSETRA,FMNR MAROANTSETRA
FMNS,SAMBAVA,FMNS SAMBAVA
FMNT,TSARATANANA,FMNT TSARATANANA
FMNV,VOHEMAR,FMNV VOHEMAR
FMNW,ANTSOHIHY/AMBALABE,FMNW ANTSOHIHY/AMBALABE
FMNX,MANDRITSARA,FMNX MANDRITSARA
FMNZ,AMPAMPAMENA,FMNZ AMPAMPAMENA
FMSA,AMBALAVAO,FMSA AMBALAVAO
FMSB,BEROROHA/ANTSOA,FMSB BEROROHA/ANTSOA
FMSC,MANDABE,FMSC MANDABE
FMSD,TOLAGNARO,FMSD TOLAGNARO
FMSE,BETROKA,FMSE BETROKA
FMSF,FIANARANTSOA,FMSF FIANARANTSOA
FMSG,FARAFANGANA,FMSG FARAFANGANA
FMSI,IHOSY,FMSI IHOSY
FMSJ,MANJA,FMSJ MANJA
FMSK,MANAKARA,FMSK MANAKARA
FMSL,BEKILY,FMSL BEKILY
FMSM,MANANJARY,FMSM MANANJARY
FMSN,TANANDAVA-SAMANGOKY,FMSN TANANDAVA-SAMANGOKY
FMSO,RANOHIRA,FMSO RANOHIRA
FMSR,MOROMBE,FMSR MOROMBE
FMST,TOLIARA,FMST TOLIARA
FMSV,BETIOKY,FMSV BETIOKY
FMSY,AMPANIHY,FMSY AMPANIHY
FMSZ,ANKAZOABO,FMSZ ANKAZOABO
FNAM,AMBRIZ,FNAM AMBRIZ
FNAN,LUANDA (ACC/FIC),FNAN LUANDA (ACC/FIC)
FNBC,M´BANZA-CONGO,FNBC M´BANZA-CONGO
FNBG,BENGUELA,FNBG BENGUELA
FNCA,CABINDA,FNCA CABINDA
FNCB,CAMEMBE,FNCB CAMEMBE
FNCC,CACOLO,FNCC CACOLO
FNCH,CHITATO,FNCH CHITATO
FNCM,CAMABATELA,FNCM CAMABATELA
FNCV,CUITO CUANAVALE,FNCV CUITO CUANAVALE
FNCX,CAMAXILO,FNCX CAMAXILO
FNCZ,CAZOMBO,FNCZ CAZOMBO
FNDB,DAMBA,FNDB DAMBA
FNGI,N'GIVA,FNGI N'GIVA
FNGU,N'GUNZA,FNGU N'GUNZA
FNHU,HUAMBO,FNHU HUAMBO
FNKU,KUITO/BIE,FNKU KUITO/BIE
FNLB,LOBITO,FNLB LOBITO
FNLU,LUANDA/4 DE FEVEREIRO,FNLU LUANDA/4 DE FEVEREIRO
FNMA,MALANJE,FNMA MALANJE
FNME,MENONGUE,FNME MENONGUE
FNMO,MOOAMEDES/YURI GAGARIN,FNMO MOOAMEDES/YURI GAGARIN
FNMQ,MAQUELA,FNMQ MAQUELA
FNNG,NEGAGE,FNNG NEGAGE
FNPA,PORTO AMBOIM,FNPA PORTO AMBOIM
FNPB,SANZA POMBO,FNPB SANZA POMBO
FNSA,SAURIMO,FNSA SAURIMO
FNSO,SOYO,FNSO SOYO
FNTO,TOTO,FNTO TOTO
FNUA,LUAU,FNUA LUAU
FNUB,LUBANGO,FNUB LUBANGO
FNUE,LUENA,FNUE LUENA
FNUG,UIGE/VIGE,FNUG UIGE/VIGE
FNWK,WAKO-KUNGO,FNWK WAKO-KUNGO
FNXA,XANGONGO,FNXA XANGONGO
FNZE,N'ZETO/N'ZETO,FNZE N'ZETO/N'ZETO
FOGB,BOQUE,FOGB BOQUE
FOGE,NDENDE,FOGE NDENDE
FOGF,FOUGAMOU,FOGF FOUGAMOU
FOGG,MBIGOU,FOGG MBIGOU
FOGI,MOABI,FOGI MOABI
FOGJ,NDJOLE,FOGJ NDJOLE
FOGM,MOUILA (VILLE),FOGM MOUILA (VILLE)
FOGO,OKONDJA,FOGO OKONDJA
FOGR,LAMBARENE,FOGR LAMBARENE
FOGV,MINVOUL,FOGV MINVOUL
FOGW,WONGA-WONGUE,FOGW WONGA-WONGUE
FOOA,MOUILA,FOOA MOUILA
FOOB,BITAM,FOOB BITAM
FOOC,COCOBEACH,FOOC COCOBEACH
FOOD,MOANDA,FOOD MOANDA
FOOE,MEKAMBO,FOOE MEKAMBO
FOOG,PORT GENTIL,FOOG PORT GENTIL
FOOH,OMBOUE (HOPITAL),FOOH OMBOUE (HOPITAL)
FOOI,LIBREVILLE/LEON M'BA,FOOI LIBREVILLE/LEON M'BA
FOOK,MAKOKOU/EPASSENGUE,FOOK MAKOKOU/EPASSENGUE
FOOM,MITZIC,FOOM MITZIC
FOON,FRANCEVILLE/MVENGUE,FOON FRANCEVILLE/MVENGUE
FOOO,LIBREVILLE (ACC/COM),FOOO LIBREVILLE (ACC/COM)
FOOR,LASTOURVILLE,FOOR LASTOURVILLE
FOOS,SETTE-CAMA,FOOS SETTE-CAMA
FOOT,TCHIBANGA,FOOT TCHIBANGA
FOOV,LIBREVILLE (VILLE),FOOV LIBREVILLE (VILLE)
FOOY,MAYUMBA,FOOY MAYUMBA
FPPA,"PORTO ALEGRE, ILHA DE SAO TOME",FPPA PORTO ALEGRE, ILHA DE SAO TOME
FPPR,"PRINCIPE, ILHA DE PRINCIPE",FPPR PRINCIPE, ILHA DE PRINCIPE
FPST,"SAO TOME, ILHA DE SAO TOME",FPST SAO TOME, ILHA DE SAO TOME
FPVN,"VILA DAS NEVES, ILHA DE SAO TOME",FPVN VILA DAS NEVES, ILHA DE SAO TOME
FQAG,ANGOCHE,FQAG ANGOCHE
FQBE,BEIRA (ACC/FIC),FQBE BEIRA (ACC/FIC)
FQBI,BILENE,FQBI BILENE
FQBR,BEIRA,FQBR BEIRA
FQCB,CUAMBA,FQCB CUAMBA
FQCH,CHIMOIO,FQCH CHIMOIO
FQES,ESTIMA,FQES ESTIMA
FQFU,FURANCUNGO,FQFU FURANCUNGO
FQIA,INHACA,FQIA INHACA
FQIN,INHAMBANE,FQIN INHAMBANE
FQLC,LICHINGA,FQLC LICHINGA
FQLU,LUMBO,FQLU LUMBO
FQMA,MAPUTO,FQMA MAPUTO
FQMD,MUEDA,FQMD MUEDA
FQMP,MOCIMBOA DA PRAIA,FQMP MOCIMBOA DA PRAIA
FQMR,MARRUPA,FQMR MARRUPA
FQMU,MUTARARA,FQMU MUTARARA
FQNC,NACALA,FQNC NACALA
FQPB,PEMBA,FQPB PEMBA
FQNP,NAMPULA,FQNP NAMPULA
FQPO,PONTA DO OURO,FQPO PONTA DO OURO
FQQL,QUELIMANE,FQQL QUELIMANE
FQSG,SONGO,FQSG SONGO
FQTE,TETE,FQTE TETE
FQTT,TETE/CHINGOZI,FQTT TETE/CHINGOZI
FQUG,ULONGWE,FQUG ULONGWE
FQVL,VILANKULU,FQVL VILANKULU
FQXA,XAI-XAI,FQXA XAI-XAI
FSAL,ALPHONSE,FSAL ALPHONSE
FSAS,ASSUMPTION ISLAND,FSAS ASSUMPTION ISLAND
FSDA,DARROS ISLAND,FSDA DARROS ISLAND
FSDR,DESROCHES,FSDR DESROCHES
FSFA,FARQUHAR,FSFA FARQUHAR
FSIA,SEYCHELLES INTL,FSIA SEYCHELLES INTL
FSMA,MARIE LOUISE,FSMA MARIE LOUISE
FSPL,PLATTE,FSPL PLATTE
FSPP,PRASLIN,FSPP PRASLIN
FSSA,ASTOVE,FSSA ASTOVE
FSSB,BIRD ISLAND,FSSB BIRD ISLAND
FSSC,COETIVY,FSSC COETIVY
FSSD,DENIS ISLAND,FSSD DENIS ISLAND
FSSF,FREGATE ISLAND,FSSF FREGATE ISLAND
FSSR,REMIRE,FSSR REMIRE
FSSS,SEYCHELLES ATCC,FSSS SEYCHELLES ATCC
FTTA,SARH,FTTA SARH
FTTB,BONGOR,FTTB BONGOR
FTTC,ABECHE,FTTC ABECHE
FTTD,MOUNDOU,FTTD MOUNDOU
FTTE,BILTINE,FTTE BILTINE
FTTF,FADA,FTTF FADA
FTTG,GOZ-BEIDA,FTTG GOZ-BEIDA
FTTH,LAI,FTTH LAI
FTTI,ATI,FTTI ATI
FTTJ,N'DJAMENA,FTTJ N'DJAMENA
FTTK,BOKORO,FTTK BOKORO
FTTL,BOL,FTTL BOL
FTTM,MONGO,FTTM MONGO
FTTN,AM-TIMAN,FTTN AM-TIMAN
FTTP,PALA,FTTP PALA
FTTR,ZOUAR,FTTR ZOUAR
FTTS,BOUSSO,FTTS BOUSSO
FTTT,N'DJAMENA (FIC/COM),FTTT N'DJAMENA (FIC/COM)
FTTU,MAO,FTTU MAO
FTTV,N'DJAMENA (VILLE),FTTV N'DJAMENA (VILLE)
FTTY,FAYA-LARGEAU,FTTY FAYA-LARGEAU
FTTZ,BARDAI-ZOUGRA,FTTZ BARDAI-ZOUGRA
FVBB,BEIT BRIDGE,FVBB BEIT BRIDGE
FVBI,BINGA,FVBI BINGA
FVBU,BULAWAYO/BULAWAYO,FVBU BULAWAYO/BULAWAYO
FVCH,CHIPINGE,FVCH CHIPINGE
FVCP,HARARE/CHARLES PRINCE,FVCP HARARE/CHARLES PRINCE
FVCZ,CHIREDZI/BUFFALO RANGE,FVCZ CHIREDZI/BUFFALO RANGE
FVFA,VICTORIA FALLS/VICTORIA FALLS,FVFA VICTORIA FALLS/VICTORIA FALLS
FVGO,GOKWE,FVGO GOKWE
FVGR,MUTARE/GRAND REEF,FVGR MUTARE/GRAND REEF
FVGW,GWERU/GWERU,FVGW GWERU/GWERU
FVHA,HARARE/HARARE (AD/FIC/COM/NOF),FVHA HARARE/HARARE (AD/FIC/COM/NOF)
FVHQ,HARARE (DCA-HQ),FVHQ HARARE (DCA-HQ)
CCA,CURUZU CUATIA,CCA CURUZU CUATIA SATU UZU
BAS,BASAVILBASO,BAS BASAVILBASO
BBT,BAHIA BLANCA/AEROTALLERES,BBT BAHIA BLANCA/AEROTALLERES
BCA,BAHIA BLANCA / COMANDANTE ESPORA,BCA BAHIA BLANCA / COMANDANTE ESPORA SAZB BHI
BDO,BARADERO,BDO BARADERO
BEL,BELL VILLE,BEL BELL VILLE
BEX,BARADERO,BEX BARADERO
BHB,BAHIA BLANCA/AEROCLUB,BHB BAHIA BLANCA/AEROCLUB
BHT,BRAGADO/HARAS TRELLIRIS,BHT BRAGADO/HARAS TRELLIRIS
BIO,EL TURBIO / 28 DE NOVIEMBRE,BIO EL TURBIO / 28 DE NOVIEMBRE SAWT RYO
BLC,BALCARCE/ESTACION LOS CARDOS,BLC BALCARCE/ESTACION LOS CARDOS
BLE,BALCARCE/Ea. La Estrella,BLE BALCARCE/Ea. La Estrella
BLN,LONDRES / BELEN,BLN LONDRES / BELEN
BLR,BOLIVAR,BLR BOLIVAR SAZI
BLT,LUIS BELTRAN (RIO NEGRO),BLT LUIS BELTRAN (RIO NEGRO)
BLL,MIRAMAR / LAS CORTADERAS,BLL MIRAMAR / LAS CORTADERAS
BOE,MORTEROS/AERO BOERO,BOE MORTEROS/AERO BOERO
BOL,EL BOLSON,BOL EL BOLSON SAVB EHL
BOS,LOBOS,BOS LOBOS
BRA,BRAGADO,BRA BRAGADO
BTA,BELLA VISTA,BTA BELLA VISTA
BTS,CORRAL DE BUSTOS,BTS CORRAL DE BUSTOS
CAL,CAMPO ARENAL,CAL CAMPO ARENAL
CAR,CARMEN DE ARECO,CAR CARMEN DE ARECO
CAT,CATAMARCA / CORONEL FELIPE VARELA,CAT CATAMARCA / CORONEL FELIPE VARELA SANC CTC
CAY,SAN CAYETANO,CAY SAN CAYETANO
CBA,CORDOBA/ING. AERONAUTICO AMBROSIO L.V. TARAVELLA,CBA CORDOBA/ING. AERONAUTICO AMBROSIO L.V. TARAVELLA SACO COR
CBD,CABILDO,CBD CABILDO
BAR,SAN CARLOS DE BARILOCHE,BAR SAN CARLOS DE BARILOCHE SAZS BRC
ACM,ARRECIFES / LA CURA MALAL,ACM ARRECIFES / LA CURA MALAL
ACH,GENERAL ACHA,ACH GENERAL ACHA
ADO,PUERTO DESEADO,ADO PUERTO DESEADO SAWD PUD
AER,BUENOS AIRES/AEROPARQUE J. NEWBERY,AER BUENOS AIRES/AEROPARQUE J. NEWBERY SABE AEP
AGI,PIEDRA DEL AGUILA,AGI PIEDRA DEL AGUILA SAVA
AGR,ALTA GRACIA/COMANDANTE EDMUNDO OSVALDO WEISS,AGR ALTA GRACIA/COMANDANTE EDMUNDO OSVALDO WEISS
AJA,LA LAJA,AJA LA LAJA
ALC,AMEGHINO/LA CHACRA,ALC AMEGHINO/LA CHACRA
ALR,ALEJANDRO ROCA,ALR ALEJANDRO ROCA
ALT,CRUZ ALTA,ALT CRUZ ALTA
ALL,ALLEN,ALL ALLEN
AME,AMEGHINO/SIGFRIDO ROHR,AME AMEGHINO/SIGFRIDO ROHR
AMG,AMEGHINO,AMG AMEGHINO
ANA,PARANA/AEROCLUB,ANA PARANA/AEROCLUB
AND,ANDALGALA,AND ANDALGALA
ANT,ANTELO/EL PROGRESO,ANT ANTELO/EL PROGRESO
APO,APOSTOLES,APO APOSTOLES
ARB,ARRIBEÑOS,ARB ARRIBEÑOS
ARF,ARRECIFES/FUMIGACIONES MANZOTTI,ARF ARRECIFES/FUMIGACIONES MANZOTTI
ARS,ALTO RIO SENGUERR / DON CASIMIRO SZLAPELIS,ARS ALTO RIO SENGUERR / DON CASIMIRO SZLAPELIS SAVR ARR
ARY,ARROYITO/ARCOR,ARY ARROYITO/ARCOR
ATE,ZARATE,ATE ZARATE
AUT,PUERTO CHENAUT/EL CIELO (INHABILITADO),AUT PUERTO CHENAUT/EL CIELO (INHABILITADO)
AVA,ALVEAR/AEROPARQUE ROSARIO,AVA ALVEAR/AEROPARQUE ROSARIO
AVL,AVELLANEDA/PRESIDENTE AVELLANEDA,AVL AVELLANEDA/PRESIDENTE AVELLANEDA
AVR,ALVEAR,AVR ALVEAR
AYA,AYACUCHO,AYA AYACUCHO
BAI,LAGO BUENOS AIRES,BAI LAGO BUENOS AIRES
BAL,BALCARCE,BAL BALCARCE
